Issue_ID,Priority,Status,Bugs,Assigned_To
ISS144,Low,Closed,2,Alice
ISS145,Medium,Open,9,Frank
ISS146,Medium,Open,4,Rachel
ISS147,Medium,In Progress,3,Alice
ISS148,Medium,Open,2,Charlie
ISS149,Medium,In Progress,10,Rachel
ISS150,High,In Progress,9,Henry
ISS151,Medium,Open,10,Alice
ISS152,Critical,Closed,1,David
ISS153,Medium,Open,7,Emma
ISS154,High,In Progress,2,Alice
ISS155,Critical,Closed,1,Kevin
ISS156,Low,Closed,6,Tom
ISS157,High,Open,7,Jack
ISS158,Medium,In Progress,2,Olivia
ISS159,Low,Closed,10,Charlie
ISS160,Low,Closed,8,Grace
ISS161,Critical,Closed,3,Jack
ISS162,Medium,In Progress,8,Charlie
ISS163,High,In Progress,4,Grace
ISS164,Medium,Closed,1,Sam
ISS165,Critical,In Progress,5,Henry
ISS166,Critical,Closed,1,Tom
ISS167,High,Open,1,Bob
ISS168,Low,Open,5,Sophia
ISS169,Medium,In Progress,3,Henry
ISS170,Low,In Progress,1,Sam
ISS171,Critical,In Progress,7,Sam
ISS172,High,Open,1,Ivy
ISS173,Low,Open,10,Grace
ISS174,Low,In Progress,10,Olivia
ISS175,Medium,Open,2,Liam
ISS176,Medium,In Progress,3,Alice
ISS177,High,Open,8,Sophia
ISS178,High,Closed,4,Tom
ISS179,Medium,Open,3,Peter
ISS180,Low,In Progress,3,Rachel
ISS181,Medium,In Progress,2,Mia
ISS182,Low,In Progress,6,Sam
ISS183,Critical,Closed,10,Sam
ISS184,Critical,Closed,1,Ivy
ISS185,Medium,Closed,5,Emma
ISS186,Medium,Open,2,Kevin
ISS187,High,In Progress,10,Mia
ISS188,High,In Progress,5,Bob
ISS189,High,In Progress,5,Ivy
ISS190,Low,Closed,10,Sam
ISS191,Critical,In Progress,6,Noah
ISS192,Low,Open,6,Grace
ISS193,Low,In Progress,3,David
ISS194,High,Open,2,Liam
ISS195,Low,In Progress,3,Liam
ISS196,Critical,In Progress,10,Charlie
ISS197,High,Closed,1,Mia
ISS198,High,Open,7,David
ISS199,High,Open,7,Kevin
ISS200,Medium,Open,2,Rachel
